ISO Code,Countries and areas,InternationalMigrantsByCountryOfDestination_Total(thousands),InternationalMigrantsByCountryOfDestination_AsPercentageOfTotalPopulationOfCountry/Area(%),InternationalMigrantsByCountryOfDestination_ShareOfUnder18AmongTotalInternationalMigrants(%),InternationalMigrantsByCountryOfOrigin_Total(thousands),InternationalMigrantsByCountryOfOrigin_AsPercentageOfTotalPopulationOfCountry/Area(%),RefugeesByCountryOfAsylumTotal(thousands),%Under18AmongTotalRefugeesByCountryOfAsylum,RefugeesByCountryOfOriginTotal(thousands),%Under18InTotalRefugeesByCountryOfOrigin,AylumSeekersByCountryOfAsylumTotal(thousands),AsylumSeekersByCountryOfOriginTotal(thousands),InternalDisplacedPersonsTotal(thousands),NumberOfKeyHumanRightsInstrumentsRatified
AFG,Afghanistan,382,1,25,"4,843",15,258,59,"2,666",49,0,259,"1,174",3
ALB,Albania,58,2,15,"1,123",39,0,32,10,0,1,42,-,5
DZA,Algeria,242,1,19,"1,764",4,94,0,3,0,7,8,-,5
AND,Andorra,42,60,6,8,11,-,-,0,-,-,0,-,1
AGO,Angola,107,0,20,555,2,16,-,12,0,30,3,-,4
AIA,Anguilla,5,37,22,2,16,0,-,0,-,-,-,-,-
ATG,Antigua and Barbuda,28,31,13,65,71,0,-,0,-,-,0,-,4
ARG,Argentina,"2,086",5,8,940,2,3,8,0,0,1,0,-,5
ARM,Armenia,191,6,9,937,31,19,0,11,0,0,9,8,4
AUS,Australia,"6,764",28,7,527,2,37,-,0,0,21,0,-,4
AUT,Austria,"1,492",17,7,576,7,72,-,0,0,80,0,-,4
AZE,Azerbaijan,264,3,11,"1,147",12,1,35,10,0,0,5,564,5
BHS,Bahamas,59,15,13,40,10,0,-,0,-,0,0,-,4
BHR,Bahrain,704,51,12,56,4,0,32,0,0,0,0,-,3
BGD,Bangladesh,"1,423",1,18,"7,205",4,232,0,12,0,-,31,426,2
BRB,Barbados,34,12,14,98,35,-,-,0,0,-,0,-,3
BLR,Belarus,"1,083",11,5,"1,485",16,2,0,4,0,0,1,-,4
BEL,Belgium,"1,388",12,18,531,5,35,-,0,0,36,0,-,4
BLZ,Belize,54,15,16,60,17,0,29,0,-,1,0,-,5
BEN,Benin,245,2,31,616,6,1,32,0,0,0,1,-,4
BTN,Bhutan,51,7,10,44,6,-,-,18,35,-,0,-,1
BOL,Bolivia (Plurinational State of),143,1,39,800,7,1,19,1,0,-,0,-,4
BIH,Bosnia and Herzegovina,35,1,9,"1,651",43,7,18,19,7,0,7,98,5
BWA,Botswana,161,7,20,58,3,2,38,0,-,0,0,-,4
BRA,Brazil,714,0,12,"1,544",1,9,14,1,0,21,2,-,4
BRN,Brunei Darussalam,103,24,17,46,11,-,-,-,-,-,0,-,1
